DATE SP500
198609 -0.0826711
198610 0.0577123
198611 0.0243052
198612 -0.0255196
198701 0.1346568
198702 0.0394780
198703 0.0288529
198704 -0.0088793
198705 0.0086350
198706 0.0505004
198707 0.0506576
198708 0.0372814
198709 -0.0219224
198710 -0.2153311
198711 -0.0824099
198712 0.0760746
198801 0.0434670
198802 0.0447349
198803 -0.0305427
198804 0.0127085
198805 0.0064283
198806 0.0464987
198807 -0.0024132
198808 -0.0355856
198809 0.0428645
198810 0.0290172
198811 -0.0159158
198812 0.0177202
198901 0.0741034
198902 -0.0261543
198903 0.0236793
198904 0.0533117
198905 0.0382053
198906 -0.0049601
198907 0.0913260
198908 0.0182331
198909 -0.0038698
198910 -0.0224547
198911 0.0193329
198912 0.0241623
199001 -0.0662141
199002 0.0113348
199003 0.0270274
199004 -0.0237401
199005 0.0952243
199006 -0.0059248
199007 -0.0024297
199008 -0.0915061
199009 -0.0480847
199010 -0.0032995
199011 0.0633552
199012 0.0280554
199101 0.0443340
199102 0.0699849
199103 0.0247368
199104 0.0032245
199105 0.0414546
199106 -0.0451221
199107 0.0476611
199108 0.0223308
199109 -0.0165138
199110 0.0144642
199111 -0.0413545
199112 0.1142793
199201 -0.0175743
199202 0.0119381
199203 -0.0194815
199204 0.0305680
199205 0.0035665
199206 -0.0147585
199207 0.0419956
199208 -0.0214756
199209 0.0116900
199210 0.0045240
199211 0.0326739
199212 0.0124495
199301 0.0093407
199302 0.0127629
199303 0.0209528
199304 -0.0230035
199305 0.0251937
199306 0.0031761
199307 -0.0029519
199308 0.0368195
199309 -0.0076794
199310 0.0216371
199311 -0.0107091
199312 0.0123220
199401 0.0347517
199402 -0.0278648
199403 -0.0434990
199404 0.0140883
199405 0.0149256
199406 -0.0242940
199407 0.0339658
199408 0.0399996
199409 -0.0246063
199410 0.0232767
199411 -0.0371545
199412 0.0147454
199501 0.0265642
199502 0.0383061
199503 0.0294837
199504 0.0303569
199505 0.0386430
199506 0.0235285
199507 0.0339235
199508 0.0017615
199509 0.0421799
199510 -0.0029601
199511 0.0430780
199512 0.0193932
199601 0.0344842
199602 0.0087421
199603 0.0097123
199604 0.0153833
199605 0.0247794
199606 0.0041398
199607 -0.0438095
199608 0.0211267
199609 0.0561662
199610 0.0275712
199611 0.0755172
199612 -0.0198143
199701 0.0624375
199702 0.0078482
199703 -0.0410080
199704 0.0596471
199705 0.0608355
199706 0.0447731
199707 0.0795240
199708 -0.0559786
199709 0.0547320
199710 -0.0333586
199711 0.0462598
199712 0.0171655
199801 0.0110496
199802 0.0720827
199803 0.0511674
199804 0.0100558
199805 -0.0171648
199806 0.0405896
199807 -0.0106214
199808 -0.1444306
199809 0.0640638
199810 0.0812686
199811 0.0605833
199812 0.0575870
199901 0.0418010
199902 -0.0310744
199903 0.0399982
199904 0.0387245
199905 -0.0235803
199906 0.0554531
199907 -0.0311945
199908 -0.0049506
199909 -0.0273801
199910 0.0632536
199911 0.0203268
199912 0.0588613
200001 -0.0502365
200002 -0.0189098
200003 0.0977657
200004 -0.0300751
200005 -0.0205277
200006 0.0246572
200007 -0.0156201
200008 0.0620794
200009 -0.0527799
200010 -0.0042415
200011 -0.0787820
200012 0.0049059
200101 0.0354576
200102 -0.0911231
200103 -0.0633152
200104 0.0776486
200105 0.0067085
200106 -0.0243299
200107 -0.0098479
200108 -0.0625389
200109 -0.0807460
200110 0.0190799
200111 0.0766876
200112 0.0087656
200201 -0.0145852
200202 -0.0192895
200203 0.0376135
200204 -0.0606010
200205 -0.0073413
200206 -0.0712053
200207 -0.0779313
200208 0.0065466
200209 -0.1085823
200210 0.0879452
200211 0.0587895
200212 -0.0587177
200301 -0.0261463
200302 -0.0150263
200303 0.0096820
200304 0.0823316
200305 0.0526371
200306 0.0127751
200307 0.0176398
200308 0.0194636
200309 -0.0105882
200310 0.0565409
200311 0.0087883
200312 0.0524079
200401 0.0183511
200402 0.0138950
200403 -0.0150846
200404 -0.0156774
200405 0.0136955
200406 0.0194391
200407 -0.0330932
200408 0.0040164
200409 0.0108219
200410 0.0152775
200411 0.0404486
200412 0.0340180
200501 -0.0243745
200502 0.0210324
200503 -0.0176894
200504 -0.0189566
200505 0.0317906
200506 0.0014326
200507 0.0371727
200508 -0.0091194
200509 0.0080954
200510 -0.0166796
200511 0.0377843
200512 0.0003545
200601 0.0264770
200602 0.0027053
200603 0.0124451
200604 0.0134187
200605 -0.0287454
200606 0.0013275
200607 0.0061636
200608 0.0237573
200609 0.0257543
200610 0.0325665
200611 0.0189878
200612 0.0140287
200701 0.0151082
200702 -0.0195002
200703 0.0111599
200704 0.0442823
200705 0.0348604
200706 -0.0166024
200707 -0.0309675
200708 0.0149684
200709 0.0373598
200710 0.0159044
200711 -0.0418238
200712 -0.0069203
200801 -0.0599737
200802 -0.0324595
200803 -0.0043273
200804 0.0486921
200805 0.0129504
200806 -0.0842243
200807 -0.0084094
200808 0.0144732
200809 -0.0890071
200810 -0.1679284
200811 -0.0717781
200812 0.0105374
200901 -0.0841860
200902 -0.1061353
200903 0.0874396
200904 0.0956259
200905 0.0558655
200906 0.0019964
200907 0.0755384
200908 0.0360534
200909 0.0372891
200910 -0.0185530
200911 0.0599668
200912 0.0193067
201001 -0.0359188
201002 0.0309320
201003 0.0603220
201004 0.0157915
201005 -0.0797681
201006 -0.0522778
201007 0.0700313
201008 -0.0450599
201009 0.0892064
201010 0.0380363
201011 0.0001589
201012 0.0668155
201101 0.0236920
201102 0.0342441
201103 0.0003850
201104 0.0295883
201105 -0.0113317
201106 -0.0167128
201107 -0.0203045
201108 -0.0543938
201109 -0.0702401
201110 0.1091973
201111 -0.0022453
201112 0.0102056
201201 0.0447988
201202 0.0432098
201203 0.0328840
201204 -0.0062827
201205 -0.0600418
201206 0.0411507
201207 0.0138699
201208 0.0225162
201209 0.0258293
201210 -0.0184310
201211 0.0057430
201212 0.0091076
201301 0.0517736
201302 0.0135724
201303 0.0374878
201304 0.0192450
201305 0.0233987
201306 -0.0134197
201307 0.0508598
201308 -0.0289068
201309 0.0313619
201310 0.0459178
201311 0.0304400
201312 0.0252790
201401 -0.0345506
201402 0.0456695
201403 0.0084014
201404 0.0073769
201405 0.0234237
201406 0.0206429
201407 -0.0137678
201408 0.0399499
201409 -0.0140064
201410 0.0243747
201411 0.0268660
201412 -0.0025194
201501 -0.0300024
201502 0.0574354
201503 -0.0158085
201504 0.0095914
201505 0.0128587
201506 -0.0193305
201507 0.0209431
201508 -0.0602417
201509 -0.0247229
201510 0.0843065
201511 0.0029730
201512 -0.0157628
201601 -0.0496247
201602 -0.0014034
201603 0.0677942
201604 0.0038835
201605 0.0179083
201606 0.0025823
201607 0.0368371
201608 0.0014101
201609 0.0001778
201610 -0.0182293
201611 0.0369814
201612 0.0197752
201701 0.0189639
201702 0.0396644
201703 0.0011702
201704 0.0102572
201705 0.0140525
201706 0.0062468
201707 0.0205463
201708 0.0030442
201709 0.0206134
201710 0.0233242
201711 0.0306179
201712 0.0111128
201801 0.0572335
201802 -0.0368651
201803 -0.0253747
201804 0.0038349
201805 0.0240819
201806 0.0061752
201807 0.0371993
201808 0.0325453
201809 0.0056835
